paciente,resposta,nota,coerente
0,a,0.756936252117157,True
0,b,0.6370742917060852,True
0,c,0.6670122146606445,True
1,a,0.8305265307426453,True
1,b,0.44105908274650574,False
1,c,0.5684641003608704,False
2,a,0.8294042348861694,True
2,b,0.6798009276390076,True
2,c,0.7520089149475098,True
3,a,0.7960810661315918,True
3,b,0.8261302709579468,True
3,c,0.7836450338363647,True
4,a,0.7925856113433838,True
4,b,0.4367527961730957,False
4,c,0.606670618057251,True
5,a,0.7765917181968689,True
5,b,0.8180651068687439,True
5,c,0.5742904543876648,False
6,a,0.8179877996444702,True
6,b,0.710761308670044,True
6,c,0.6225107908248901,True
7,a,0.8361244201660156,True
7,b,0.827520489692688,True
7,c,0.6251713037490845,True
8,a,0.8201591968536377,True
8,b,0.632764458656311,True
8,c,0.7257624864578247,True
9,a,0.7486391067504883,True
9,b,0.6809825301170349,True
9,c,0.5392840504646301,False
10,a,0.8400343060493469,True
10,b,0.6882422566413879,True
10,c,0.7680718898773193,True
11,a,0.7945307493209839,True
11,b,0.699722409248352,True
11,c,0.5504081845283508,False
12,a,0.8355439901351929,True
12,b,0.3906657099723816,False
12,c,0.7625719308853149,True
13,a,0.8179296851158142,True
13,b,0.4093971848487854,False
13,c,0.6761666536331177,True
14,a,0.7577221989631653,True
14,b,0.8056045770645142,True
14,c,0.6139962673187256,True
15,a,0.7900944948196411,True
15,b,0.7998524904251099,True
15,c,0.8305132389068604,True
16,a,0.7862396836280823,True
16,b,0.8074270486831665,True
16,c,0.6182522177696228,True
17,a,0.8061513900756836,True
17,b,0.8193352222442627,True
17,c,0.7496189475059509,True
18,a,0.8069450259208679,True
18,b,0.6932535767555237,True
18,c,0.7160794734954834,True
19,a,0.7670224905014038,True
19,b,0.4683492183685303,False
19,c,0.5555453896522522,False
20,a,0.7640231847763062,True
20,b,0.7613277435302734,True
20,c,0.5722806453704834,False
21,a,0.7852604389190674,True
21,b,0.7027411460876465,True
21,c,0.5760955810546875,False
22,a,0.8248991370201111,True
22,b,0.4040989279747009,False
22,c,0.8413066864013672,True
23,a,0.8014781475067139,True
23,b,0.8229489922523499,True
23,c,0.6193690896034241,True
24,a,0.8363161087036133,True
24,b,0.8489500284194946,True
24,c,0.6401302218437195,True
25,a,0.7986196875572205,True
25,b,0.819173276424408,True
25,c,0.5806916356086731,False
26,a,0.8308378458023071,True
26,b,0.8393387198448181,True
26,c,0.5846866369247437,False
27,a,0.7641963958740234,True
27,b,0.8237689137458801,True
27,c,0.6470675468444824,True
28,a,0.8045468330383301,True
28,b,0.8110202550888062,True
28,c,0.8306344747543335,True
29,a,0.8095542192459106,True
29,b,0.8281054496765137,True
29,c,0.476270854473114,False
30,a,0.7817703485488892,True
30,b,0.8592917323112488,True
30,c,0.5764104127883911,False
31,a,0.7414240837097168,True
31,b,0.6789512038230896,True
31,c,0.7941648960113525,True
32,a,0.8386950492858887,True
32,b,0.699794590473175,True
32,c,0.6311588883399963,True
33,a,0.789948582649231,True
33,b,0.8254400491714478,True
33,c,0.607690691947937,True
34,a,0.8060699701309204,True
34,b,0.8121652603149414,True
34,c,0.8208404779434204,True
35,a,0.7935540676116943,True
35,b,0.682542085647583,True
35,c,0.6256901025772095,True
36,a,0.8129853010177612,True
36,b,0.8309491276741028,True
36,c,0.6041496992111206,True
37,a,0.8119146823883057,True
37,b,0.8125289082527161,True
37,c,0.6066761016845703,True
38,a,0.799034595489502,True
38,b,0.6401464343070984,True
38,c,0.7335041165351868,True
39,a,0.7930217385292053,True
39,b,0.6480894088745117,True
39,c,0.5949437022209167,False
40,a,0.765447735786438,True
40,b,0.7788279056549072,True
40,c,0.5900459885597229,False
